date,price
20170810	20170810,2935
20170811	20170811,2886.5
20170814	20170814,2891
20170815	20170815,2938.5
20170816	20170816,3010
20170817	20170817,3084
20170818	20170818,3117
20170821	20170821,3143
20170822	20170822,3140
20170823	20170823,3114
20170824	20170824,3096.5
20170825	20170825,3117.5
20170829	20170829,3107.5
20170830	20170830,3118.5
20170831	20170831,3139.5
20170901	20170901,3147
20170904	20170904,3190
20170905	20170905,3194
20170906	20170906,3086
20170907	20170907,3095.5
20170908	20170908,3081
20170911	20170911,3109
20170912	20170912,3056.5
20170913	20170913,3050
20170914	20170914,2994
20170915	20170915,3042
20170918	20170918,3109.5
20170919	20170919,3123.5
20170920	20170920,3170
20170921	20170921,3098
20170922	20170922,3113.5
20170925	20170925,3168
20170926	20170926,3165
20170927	20170927,3150
20170928	20170928,3156
20170929	20170929,3217
20171002	20171002,3235.5
20171003	20171003,3324
20171004	20171004,3370
20171005	20171005,3350
20171006	20171006,3336
20171009	20171009,3334.5
20171010	20171010,3314
20171011	20171011,3306
20171012	20171012,3333
20171013	20171013,3325
20171016	20171016,3321
20171017	20171017,3130
20171018	20171018,3185
20171019	20171019,3170
20171020	20171020,3208
20171023	20171023,3176
20171024	20171024,3265
20171025	20171025,3251.5
20171026	20171026,3301
20171027	20171027,3201
20171030	20171030,3270.5
20171031	20171031,3320
20171101	20171101,3332
20171102	20171102,3272
20171103	20171103,3265.5
20171106	20171106,3290
20171107	20171107,3259
20171108	20171108,3235.5
20171109	20171109,3232
20171110	20171110,3289.5
20171113	20171113,3244
20171114	20171114,3224
20171115	20171115,3190.5
20171116	20171116,3206
20171117	20171117,3199.5
20171120	20171120,3199.5
20171121	20171121,3205.5
20171122	20171122,3271.5
20171123	20171123,3263
20171124	20171124,3271.5
20171127	20171127,3224
20171128	20171128,3178
20171129	20171129,3146
20171130	20171130,3197
20171201	20171201,3217.5
20171204	20171204,3237
20171205	20171205,3170
20171206	20171206,3137
20171207	20171207,3111
20171208	20171208,3094
20171211	20171211,3106.5
20171212	20171212,3167
20171213	20171213,3161.5
20171214	20171214,3168.5
20171215	20171215,3183
20171218	20171218,3195.5
20171219	20171219,3169.5
20171220	20171220,3217.5
20171221	20171221,3223
20171222	20171222,3234
20171227	20171227,3267
20171228	20171228,3288.5
20171229	20171229,3309
20180102	20180102,3377
20180103	20180103,3350.5
20180104	20180104,3377
20180105	20180105,3396
20180108	20180108,3391.5
20180109	20180109,3401
20180110	20180110,3381
20180111	20180111,3420
20180112	20180112,3420
20180115	20180115,3474
20180116	20180116,3429
20180117	20180117,3445
20180118	20180118,3410
20180119	20180119,3463
20180122	20180122,3441
20180123	20180123,3443
20180124	20180124,3428
20180125	20180125,3482
20180126	20180126,3526
20180129	20180129,3609.5
20180130	20180130,3584.5
20180131	20180131,3589.5
20180201	20180201,3588
20180202	20180202,3577
20180205	20180205,3564
20180206	20180206,3530.5
20180207	20180207,3539
20180208	20180208,3460
20180209	20180209,3435.5
20180212	20180212,3433
20180213	20180213,3470
20180214	20180214,3518
20180215	20180215,3595
20180216	20180216,3618
20180219	20180219,3590
20180220	20180220,3587.5
20180221	20180221,3563.5
20180222	20180222,3524
20180223	20180223,3569
20180226	20180226,3588
20180227	20180227,3547
20180228	20180228,3498.5
20180301	20180301,3405
20180302	20180302,3396.5
20180305	20180305,3302
20180306	20180306,3335
20180307	20180307,3287
20180308	20180308,3241.5
20180309	20180309,3216
20180312	20180312,3259
20180313	20180313,3279
20180314	20180314,3279.5
20180315	20180315,3233
20180316	20180316,3285
20180319	20180319,3262
20180320	20180320,3243
20180321	20180321,3224
20180322	20180322,3223
20180323	20180323,3215
20180326	20180326,3254.5
20180327	20180327,3326.5
20180328	20180328,3291.5
20180329	20180329,3332
20180403	20180403,3284.5
20180404	20180404,3249
20180405	20180405,3234
20180406	20180406,3222
20180409	20180409,3216.5
20180410	20180410,3240
20180411	20180411,3236.5
20180412	20180412,3115
20180413	20180413,3121
20180416	20180416,3116
20180417	20180417,3115
20180418	20180418,3186.5
20180419	20180419,3232
20180420	20180420,3243.5
20180423	20180423,3215
20180424	20180424,3240.5
20180425	20180425,3162
20180426	20180426,3098
20180427	20180427,3120.5
20180430	20180430,3171
20180501	20180501,3100.5
20180502	20180502,3065.5
20180503	20180503,3028
20180504	20180504,2968
20180508	20180508,3066
