date,price
20210615,17909
20210616,17483
20210617,17287
20210618,17320
20210621,17310
20210622,17701
20210623,17867
20210624,18192
20210625,18611
20210628,18358
20210629,18213
20210630,18450
20210701,18082
20210702,18141
20210705,18370
20210706,18541
20210707,18309
20210708,18180
20210709,18673
20210712,18566
20210713,18785
20210714,18689
20210715,18695
20210716,18895
20210719,18866
20210720,18570
20210721,18382
20210722,18870
20210723,19267
20210726,19482
20210727,19368
20210728,19583
20210729,19769
20210730,19892
20210802,19725
20210803,19324
20210804,19448
20210805,19279
20210806,19533
20210809,18748
20210810,18718
20210811,18885
20210812,19540
20210813,19650
20210816,19505
20210817,19470
20210818,19019
20210819,18476
20210820,18569
20210823,18895
20210824,19065
20210825,19225
20210826,18868
20210827,18914
20210831,19513
20210901,19541
20210902,19365
20210903,19494
20210906,19640
20210907,19555
20210908,19725
20210909,20240
20210910,20375
20210913,19930
20210914,19640
20210915,19850
20210916,19530
20210917,20060
20210920,19080
20210921,18910
20210922,19080
20210923,19235
20210924,19180
20210927,18910
20210928,18620
20210929,18625
20210930,18180
20211001,18125
20211004,18140
20211005,17800
20211006,18095
20211007,18240
20211008,18870
20211011,19420
20211012,19375
20211013,19235
20211014,19290
20211015,19860
20211018,20215
20211019,20455
20211020,20035
20211021,20530
20211022,20355
20211025,20135
20211026,20495
20211027,19850
20211028,19825
20211029,19480
20211101,19650
20211102,19825
20211103,19780
20211104,19590
20211105,19270
20211108,19625
20211109,19720
20211110,19635
20211111,19850
20211112,19950
20211115,19950
20211116,19675
20211117,19575
20211118,19295
20211119,19980
20211122,20270
20211123,20590
20211124,21135
20211125,21075
20211126,20235
20211129,20350
20211130,20190
20211201,20410
20211202,20190
20211203,20290
20211206,19980
20211207,20305
20211208,20430
20211209,19975
20211210,19960
20211213,19905
20211214,19750
20211215,19330
20211216,19585
20211217,19840
20211220,19370
20211221,19750
20211222,19985
20211223,20180
20211224,20295
20211229,20320
20211230,20700
20211231,20925
20220104,20730
20220105,20900
20220106,20480
20220107,20725
20220110,21045
20220111,21680
20220112,22200
20220113,22130
20220114,22850
20220117,22475
20220118,22740
20220119,22795
20220120,23900
20220121,24000
20220124,23500
20220125,22535
20220126,23425
20220127,22860
20220128,22750
20220131,22800
20220201,23300
20220202,23400
20220203,23225
20220204,23475
20220207,23650
20220208,23530
20220209,23550
20220210,24055
20220211,23705
20220214,23650
20220215,23950
20220216,23905
20220217,24150
20220218,24500
20220221,24870
20220222,25650
20220223,24950
20220224,26105
20220225,24700
20220228,25240
20220301,25450
20220302,27000
20220303,28800
20220304,29800
20220307,42995
20220316,45795
20220317,42150
20220318,37115
20220321,31580
20220322,30800
20220323,32355
20220324,37200
20220325,35550
20220328,34050
20220329,33100
20220330,32750
20220331,33400
20220401,32800
20220404,33690
20220405,33750
20220406,33600
20220407,33500
20220408,34100
20220411,32925
20220412,32450
20220413,33000
20220414,33250
20220419,33700
20220420,33800
20220421,33775
20220422,33850
20220425,32650
20220426,32825
20220427,33300
20220428,33275
20220429,32430
20220503,30910
20220504,30385
20220505,30200
20220506,29930
20220509,28400
20220510,27760
20220511,27800
20220512,27600
20220513,27425
20220516,26105
20220517,26300
20220518,26180
20220519,26125
20220520,27950
20220523,26800
20220524,26280
20220525,26725
20220526,27550
20220527,27850
20220530,29975
20220531,28700
20220601,27710
20220606,29400
20220607,29050
20220608,28860
20220609,28055
20220610,27570
20220613,26390
20220614,25500
20220615,25650
20220616,25425
20220617,25435
20220620,25230
20220621,25540
20220622,24975
20220623,24110
20220624,22900
20220627,23200
20220628,23900
20220629,24750
20220630,23100
20220701,21650
20220704,22685
20220705,21925
20220706,22225
20220707,22025
20220708,21255
20220711,21500
20220712,21450
20220713,21700
20220714,20335
20220715,19100
20220718,20200
20220719,21350
20220720,21300
20220721,21200
20220722,21530
20220725,22550
20220726,22320
20220727,21300
20220728,21500
20220729,22050
20220801,24025
20220802,22825
20220803,22000
20220804,22035
20220805,22170
20220808,21725
20220809,21355
20220810,21330
20220811,23110
20220812,23225
20220815,21850
20220816,22500
20220817,22035
20220818,21850
20220819,21575
20220822,21810
20220823,21780
20220824,21350
20220825,21250
20220826,21510
20220830,21385
20220831,21255
20220901,20525
20220902,20200
20220905,21000
20220906,21355
20220907,21450
20220908,21400
20220909,22200
20220912,23325
20220913,24655
20220914,23755
20220915,23310
20220916,23500
20220919,24610
20220920,24750
20220921,24860
20220922,24525
20220923,23135
20220926,22150
20220927,21890
20220928,21225
20220929,22900
20220930,22290
20221003,21575
20221004,21300
20221005,22275
20221006,22350
20221007,22360
20221010,22100
20221011,22400
20221012,21750
20221013,21920
20221014,21910
20221017,21460
20221018,21500
20221019,21620
20221020,21825
20221021,21550
20221024,22170
20221025,22075
20221026,22255
20221027,22250
20221028,22255
20221031,21750
20221101,22705
20221102,23360
20221103,23060
